"slug","english_title","chinese_name","review_state","pack_count","packs","modrinth_url"
"entity-model-features","[EMF] Entity Model Features","实体模型特性 (EMF)","extended","10","fabulously-optimized;cobblemon-fabric;cobbleverse;prominence-2-fabric;create_plus;better-mc-fabric-bmc2;zombie-invade-100-days;create-stratus-terra-forge;barces-vanilla-experience;better-mc-forge-bmc4","https://modrinth.com/mod/entity-model-features"
"fabric-api","Fabric API","Fabric API","curated","10","fabulously-optimized;cobblemon-fabric;cobbleverse;prominence-2-fabric;distant-horizons-iris-shaders;slimes-adventure;better-mc-fabric-bmc2;barces-vanilla-experience;nonagon;pokemon-elysium","https://modrinth.com/mod/fabric-api"
"immediatelyfast","ImmediatelyFast","立刻快 (ImmediatelyFast)","curated","10","fabulously-optimized;cobbleverse;prominence-2-fabric;create_plus;slimes-adventure;better-mc-fabric-bmc2;zombie-invade-100-days;create-stratus-terra-forge;nonagon;better-mc-forge-bmc4","https://modrinth.com/mod/immediatelyfast"
"iris","Iris Shaders","鸢尾花 (Iris Shaders)","curated","10","fabulously-optimized;cobblemon-fabric;cobbleverse;prominence-2-fabric;distant-horizons-iris-shaders;slimes-adventure;better-mc-fabric-bmc2;barces-vanilla-experience;nonagon;pokemon-elysium","https://modrinth.com/mod/iris"
"sodium","Sodium","钠 (Sodium)","curated","10","fabulously-optimized;cobblemon-fabric;cobbleverse;prominence-2-fabric;distant-horizons-iris-shaders;slimes-adventure;better-mc-fabric-bmc2;barces-vanilla-experience;nonagon;pokemon-elysium","https://modrinth.com/mod/sodium"
"balm","Balm","Balm (前置库)","extended","9","cobblemon-fabric;cobbleverse;prominence-2-fabric;create_plus;slimes-adventure;zombie-invade-100-days;create-stratus-terra-forge;better-mc-forge-bmc4;pokemon-elysium","https://modrinth.com/mod/balm"
"clumps","Clumps","经验合并 (Clumps)","extended","9","cobblemon-fabric;prominence-2-fabric;create_plus;slimes-adventure;better-mc-fabric-bmc2;create-stratus-terra-forge;nonagon;better-mc-forge-bmc4;pokemon-elysium","https://modrinth.com/mod/clumps"
"modernfix","ModernFix","ModernFix","curated","9","cobbleverse;prominence-2-fabric;create_plus;slimes-adventure;better-mc-fabric-bmc2;zombie-invade-100-days;create-stratus-terra-forge;nonagon;better-mc-forge-bmc4","https://modrinth.com/mod/modernfix"
"mouse-tweaks","Mouse Tweaks","鼠标手势 (Mouse Tweaks)","curated","9","cobbleverse;prominence-2-fabric;create_plus;slimes-adventure;better-mc-fabric-bmc2;create-stratus-terra-forge;barces-vanilla-experience;better-mc-forge-bmc4;pokemon-elysium","https://modrinth.com/mod/mouse-tweaks"
"puzzles-lib","Puzzles Lib","Puzzles Lib (前置库)","extended","9","prominence-2-fabric;create_plus;slimes-adventure;better-mc-fabric-bmc2;zombie-invade-100-days;create-stratus-terra-forge;nonagon;better-mc-forge-bmc4;pokemon-elysium","https://modrinth.com/mod/puzzles-lib"
"bookshelf-lib","Bookshelf","Bookshelf (前置库)","extended","8","cobblemon-fabric;prominence-2-fabric;create_plus;better-mc-fabric-bmc2;zombie-invade-100-days;create-stratus-terra-forge;better-mc-forge-bmc4;pokemon-elysium","https://modrinth.com/mod/bookshelf-lib"
"collective","Collective","Collective (前置库)","extended","8","prominence-2-fabric;create_plus;better-mc-fabric-bmc2;zombie-invade-100-days;create-stratus-terra-forge;nonagon;better-mc-forge-bmc4;pokemon-elysium","https://modrinth.com/mod/collective"
"fancymenu","FancyMenu","FancyMenu (自定义菜单)","extended","8","cobblemon-fabric;cobbleverse;prominence-2-fabric;create_plus;better-mc-fabric-bmc2;zombie-invade-100-days;create-stratus-terra-forge;better-mc-forge-bmc4","https://modrinth.com/mod/fancymenu"
"geckolib","Geckolib","GeckoLib","extended","8","cobbleverse;prominence-2-fabric;create_plus;slimes-adventure;better-mc-fabric-bmc2;zombie-invade-100-days;create-stratus-terra-forge;better-mc-forge-bmc4","https://modrinth.com/mod/geckolib"
"jade","Jade 🔍","玉 (Jade)","curated","8","prominence-2-fabric;create_plus;slimes-adventure;better-mc-fabric-bmc2;zombie-invade-100-days;create-stratus-terra-forge;better-mc-forge-bmc4;pokemon-elysium","https://modrinth.com/mod/jade"
"konkrete","Konkrete","Konkrete (前置库)","extended","8","cobblemon-fabric;cobbleverse;prominence-2-fabric;create_plus;better-mc-fabric-bmc2;zombie-invade-100-days;create-stratus-terra-forge;better-mc-forge-bmc4","https://modrinth.com/mod/konkrete"
"lithium","Lithium","锂 (Lithium)","curated","8","fabulously-optimized;cobblemon-fabric;cobbleverse;prominence-2-fabric;distant-horizons-iris-shaders;better-mc-fabric-bmc2;barces-vanilla-experience;pokemon-elysium","https://modrinth.com/mod/lithium"
"melody","Melody","Melody (音乐)","extended","8","cobblemon-fabric;cobbleverse;prominence-2-fabric;create_plus;better-mc-fabric-bmc2;zombie-invade-100-days;create-stratus-terra-forge;better-mc-forge-bmc4","https://modrinth.com/mod/melody"
"reeses-sodium-options","Reese's Sodium Options","Reese 的钠选项","extended","8","fabulously-optimized;cobblemon-fabric;cobbleverse;prominence-2-fabric;distant-horizons-iris-shaders;better-mc-fabric-bmc2;barces-vanilla-experience;pokemon-elysium","https://modrinth.com/mod/reeses-sodium-options"
"yungs-api","YUNG's API","YUNG 的 API","extended","8","prominence-2-fabric;create_plus;slimes-adventure;better-mc-fabric-bmc2;create-stratus-terra-forge;nonagon;better-mc-forge-bmc4;pokemon-elysium","https://modrinth.com/mod/yungs-api"
"appleskin","AppleSkin","苹果皮 (AppleSkin)","curated","7","cobblemon-fabric;prominence-2-fabric;create_plus;zombie-invade-100-days;create-stratus-terra-forge;nonagon;pokemon-elysium","https://modrinth.com/mod/appleskin"
"athena-ctm","Athena","","unreviewed","7","cobbleverse;prominence-2-fabric;slimes-adventure;better-mc-fabric-bmc2;create-stratus-terra-forge;better-mc-forge-bmc4;pokemon-elysium","https://modrinth.com/mod/athena-ctm"
"chat-heads","Chat Heads","聊天头像 (Chat Heads)","extended","7","prominence-2-fabric;create_plus;better-mc-fabric-bmc2;zombie-invade-100-days;create-stratus-terra-forge;barces-vanilla-experience;better-mc-forge-bmc4","https://modrinth.com/mod/chat-heads"
"controlling","Controlling","按键控制 (Controlling)","extended","7","cobbleverse;create_plus;better-mc-fabric-bmc2;zombie-invade-100-days;create-stratus-terra-forge;barces-vanilla-experience;better-mc-forge-bmc4","https://modrinth.com/mod/controlling"
"coroutil","CoroUtil","CoroUtil (前置库)","extended","7","prominence-2-fabric;create_plus;slimes-adventure;better-mc-fabric-bmc2;zombie-invade-100-days;create-stratus-terra-forge;better-mc-forge-bmc4","https://modrinth.com/mod/coroutil"
"fabric-language-kotlin","Fabric Language Kotlin","Fabric Kotlin 语言支持","curated","7","fabulously-optimized;cobbleverse;prominence-2-fabric;slimes-adventure;better-mc-fabric-bmc2;nonagon;pokemon-elysium","https://modrinth.com/mod/fabric-language-kotlin"
"forge-config-api-port","Forge Config API Port","Forge 配置 API 移植","extended","7","fabulously-optimized;cobbleverse;prominence-2-fabric;slimes-adventure;better-mc-fabric-bmc2;nonagon;pokemon-elysium","https://modrinth.com/mod/forge-config-api-port"
"iceberg","Iceberg","Iceberg (前置库)","extended","7","cobbleverse;prominence-2-fabric;create_plus;better-mc-fabric-bmc2;create-stratus-terra-forge;better-mc-forge-bmc4;pokemon-elysium","https://modrinth.com/mod/iceberg"
"jei","Just Enough Items (JEI)","JEI 物品管理器 (Just Enough Items)","curated","7","cobblemon-fabric;create_plus;slimes-adventure;zombie-invade-100-days;create-stratus-terra-forge;nonagon;better-mc-forge-bmc4","https://modrinth.com/mod/jei"
"no-chat-reports","No Chat Reports","禁用聊天举报 (No Chat Reports)","extended","7","fabulously-optimized;create_plus;slimes-adventure;better-mc-fabric-bmc2;zombie-invade-100-days;better-mc-forge-bmc4;pokemon-elysium","https://modrinth.com/mod/no-chat-reports"
"owo-lib","oωo (owo-lib)","owo-lib (前置库)","extended","7","cobblemon-fabric;cobbleverse;prominence-2-fabric;slimes-adventure;better-mc-fabric-bmc2;zombie-invade-100-days;pokemon-elysium","https://modrinth.com/mod/owo-lib"
"packet-fixer","Packet Fixer","数据包修复 (Packet Fixer)","extended","7","cobbleverse;prominence-2-fabric;create_plus;better-mc-fabric-bmc2;create-stratus-terra-forge;better-mc-forge-bmc4;pokemon-elysium","https://modrinth.com/mod/packet-fixer"
"polymorph","Polymorph","多态合成 (Polymorph)","extended","7","prominence-2-fabric;create_plus;slimes-adventure;better-mc-fabric-bmc2;create-stratus-terra-forge;better-mc-forge-bmc4;pokemon-elysium","https://modrinth.com/mod/polymorph"
"resourceful-lib","Resourceful Lib","Resourceful Lib (前置库)","extended","7","cobbleverse;prominence-2-fabric;slimes-adventure;better-mc-fabric-bmc2;create-stratus-terra-forge;better-mc-forge-bmc4;pokemon-elysium","https://modrinth.com/mod/resourceful-lib"
"searchables","Searchables","Searchables (搜索组件)","extended","7","cobbleverse;prominence-2-fabric;better-mc-fabric-bmc2;zombie-invade-100-days;create-stratus-terra-forge;barces-vanilla-experience;better-mc-forge-bmc4","https://modrinth.com/mod/searchables"
"sodium-extra","Sodium Extra","钠·扩展 (Sodium Extra)","extended","7","fabulously-optimized;cobblemon-fabric;prominence-2-fabric;distant-horizons-iris-shaders;better-mc-fabric-bmc2;barces-vanilla-experience;pokemon-elysium","https://modrinth.com/mod/sodium-extra"
"3dskinlayers","3D Skin Layers","3D 皮肤层 (3D Skin Layers)","extended","6","prominence-2-fabric;better-mc-fabric-bmc2;zombie-invade-100-days;create-stratus-terra-forge;nonagon;better-mc-forge-bmc4","https://modrinth.com/mod/3dskinlayers"
"badoptimizations","BadOptimizations","BadOptimizations (性能优化)","extended","6","cobbleverse;prominence-2-fabric;create_plus;better-mc-fabric-bmc2;zombie-invade-100-days;better-mc-forge-bmc4","https://modrinth.com/mod/badoptimizations"
"better-advancements","Better Advancements","更好的进度 (Better Advancements)","extended","6","cobblemon-fabric;prominence-2-fabric;create_plus;better-mc-fabric-bmc2;nonagon;better-mc-forge-bmc4","https://modrinth.com/mod/better-advancements"
"chipped","Chipped","","unreviewed","6","prominence-2-fabric;slimes-adventure;better-mc-fabric-bmc2;create-stratus-terra-forge;better-mc-forge-bmc4;pokemon-elysium","https://modrinth.com/mod/chipped"
"handcrafted","Handcrafted","手作 (Handcrafted)","extended","6","cobbleverse;prominence-2-fabric;slimes-adventure;better-mc-fabric-bmc2;better-mc-forge-bmc4;pokemon-elysium","https://modrinth.com/mod/handcrafted"
"moonlight","Moonlight Lib","Moonlight Lib (前置库)","extended","6","prominence-2-fabric;create_plus;better-mc-fabric-bmc2;create-stratus-terra-forge;better-mc-forge-bmc4;pokemon-elysium","https://modrinth.com/mod/moonlight"
"netherportalfix","NetherPortalFix","","unreviewed","6","cobblemon-fabric;cobbleverse;prominence-2-fabric;create_plus;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/netherportalfix"
"sound-physics-remastered","Sound Physics Remastered","声音物理重置 (Sound Physics Remastered)","extended","6","cobbleverse;better-mc-fabric-bmc2;zombie-invade-100-days;create-stratus-terra-forge;better-mc-forge-bmc4;pokemon-elysium","https://modrinth.com/mod/sound-physics-remastered"
"supermartijn642s-config-lib","SuperMartijn642's Config Lib","SuperMartijn642 配置库","extended","6","cobbleverse;prominence-2-fabric;create_plus;slimes-adventure;zombie-invade-100-days;pokemon-elysium","https://modrinth.com/mod/supermartijn642s-config-lib"
"supplementaries","Supplementaries","补充品 (Supplementaries)","extended","6","prominence-2-fabric;create_plus;better-mc-fabric-bmc2;create-stratus-terra-forge;better-mc-forge-bmc4;pokemon-elysium","https://modrinth.com/mod/supplementaries"
"what-are-they-up-to","What Are They Up To (Watut)","","unreviewed","6","prominence-2-fabric;create_plus;slimes-adventure;better-mc-fabric-bmc2;create-stratus-terra-forge;better-mc-forge-bmc4","https://modrinth.com/mod/what-are-they-up-to"
"yungs-better-dungeons","YUNG's Better Dungeons","YUNG 的地牢优化","extended","6","prominence-2-fabric;create_plus;slimes-adventure;better-mc-fabric-bmc2;nonagon;better-mc-forge-bmc4","https://modrinth.com/mod/yungs-better-dungeons"
"yungs-better-jungle-temples","YUNG's Better Jungle Temples","","unreviewed","6","prominence-2-fabric;create_plus;slimes-adventure;better-mc-fabric-bmc2;nonagon;better-mc-forge-bmc4","https://modrinth.com/mod/yungs-better-jungle-temples"
"yungs-better-mineshafts","YUNG's Better Mineshafts","YUNG 的矿井优化","extended","6","prominence-2-fabric;create_plus;slimes-adventure;better-mc-fabric-bmc2;nonagon;better-mc-forge-bmc4","https://modrinth.com/mod/yungs-better-mineshafts"
"yungs-better-ocean-monuments","YUNG's Better Ocean Monuments","","unreviewed","6","prominence-2-fabric;create_plus;slimes-adventure;better-mc-fabric-bmc2;nonagon;better-mc-forge-bmc4","https://modrinth.com/mod/yungs-better-ocean-monuments"
"yungs-better-witch-huts","YUNG's Better Witch Huts","","unreviewed","6","prominence-2-fabric;create_plus;slimes-adventure;better-mc-fabric-bmc2;nonagon;better-mc-forge-bmc4","https://modrinth.com/mod/yungs-better-witch-huts"
"cherished-worlds","Cherished Worlds","珍视世界 (Cherished Worlds)","extended","5","cobblemon-fabric;prominence-2-fabric;better-mc-fabric-bmc2;zombie-invade-100-days;better-mc-forge-bmc4","https://modrinth.com/mod/cherished-worlds"
"cit-resewn","CIT Resewn","","unreviewed","5","cobblemon-fabric;prominence-2-fabric;better-mc-fabric-bmc2;nonagon;pokemon-elysium","https://modrinth.com/mod/cit-resewn"
"comforts","Comforts","舒适用品 (Comforts)","extended","5","cobbleverse;prominence-2-fabric;create_plus;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/comforts"
"debugify","Debugify","Debugify (调试修复)","extended","5","fabulously-optimized;cobbleverse;prominence-2-fabric;better-mc-fabric-bmc2;pokemon-elysium","https://modrinth.com/mod/debugify"
"emi","EMI","EMI 物品管理器","curated","5","cobblemon-fabric;prominence-2-fabric;create_plus;zombie-invade-100-days;pokemon-elysium","https://modrinth.com/mod/emi"
"enchantment-descriptions","Enchantment Descriptions","附魔描述 (Enchantment Descriptions)","extended","5","cobblemon-fabric;better-mc-fabric-bmc2;zombie-invade-100-days;create-stratus-terra-forge;better-mc-forge-bmc4","https://modrinth.com/mod/enchantment-descriptions"
"euphoria-patches","Euphoria Patches","Euphoria 补丁 (光影)","extended","5","cobbleverse;prominence-2-fabric;better-mc-fabric-bmc2;create-stratus-terra-forge;better-mc-forge-bmc4","https://modrinth.com/mod/euphoria-patches"
"fzzy-config","Fzzy Config","Fzzy Config (配置库)","extended","5","cobbleverse;prominence-2-fabric;slimes-adventure;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/fzzy-config"
"item-highlighter","Item Highlighter","","unreviewed","5","prominence-2-fabric;create_plus;better-mc-fabric-bmc2;better-mc-forge-bmc4;pokemon-elysium","https://modrinth.com/mod/item-highlighter"
"kiwi","Kiwi 🥝","","unreviewed","5","create_plus;better-mc-fabric-bmc2;zombie-invade-100-days;create-stratus-terra-forge;better-mc-forge-bmc4","https://modrinth.com/mod/kiwi"
"language-reload","Language Reload","语言重载 (Language Reload)","extended","5","fabulously-optimized;cobblemon-fabric;prominence-2-fabric;better-mc-fabric-bmc2;pokemon-elysium","https://modrinth.com/mod/language-reload"
"lootr","Lootr","","unreviewed","5","prominence-2-fabric;create_plus;slimes-adventure;create-stratus-terra-forge;pokemon-elysium","https://modrinth.com/mod/lootr"
"midnightlib","MidnightLib","MidnightLib (前置库)","extended","5","cobbleverse;prominence-2-fabric;better-mc-fabric-bmc2;create-stratus-terra-forge;better-mc-forge-bmc4","https://modrinth.com/mod/midnightlib"
"moogs-voyager-structures","MVS - Moog's Voyager Structures","","unreviewed","5","prominence-2-fabric;slimes-adventure;better-mc-fabric-bmc2;create-stratus-terra-forge;better-mc-forge-bmc4","https://modrinth.com/mod/moogs-voyager-structures"
"natures-compass","Nature's Compass","自然罗盘 (Nature's Compass)","extended","5","prominence-2-fabric;better-mc-fabric-bmc2;create-stratus-terra-forge;better-mc-forge-bmc4;pokemon-elysium","https://modrinth.com/mod/natures-compass"
"open-parties-and-claims","Open Parties and Claims","","unreviewed","5","prominence-2-fabric;slimes-adventure;better-mc-fabric-bmc2;zombie-invade-100-days;better-mc-forge-bmc4","https://modrinth.com/mod/open-parties-and-claims"
"patchouli","Patchouli","帕秋莉手册 (Patchouli)","extended","5","prominence-2-fabric;better-mc-fabric-bmc2;zombie-invade-100-days;better-mc-forge-bmc4;pokemon-elysium","https://modrinth.com/mod/patchouli"
"ping-wheel","Ping Wheel","","unreviewed","5","cobbleverse;prominence-2-fabric;better-mc-fabric-bmc2;create-stratus-terra-forge;better-mc-forge-bmc4","https://modrinth.com/mod/ping-wheel"
"resourceful-config","Resourceful Config","","unreviewed","5","prominence-2-fabric;distant-horizons-iris-shaders;better-mc-fabric-bmc2;create-stratus-terra-forge;better-mc-forge-bmc4","https://modrinth.com/mod/resourceful-config"
"simple-voice-chat","Simple Voice Chat","简易语音聊天 (Simple Voice Chat)","extended","5","create_plus;slimes-adventure;create-stratus-terra-forge;barces-vanilla-experience;pokemon-elysium","https://modrinth.com/mod/simple-voice-chat"
"terrablender","TerraBlender","地形混合 (TerraBlender)","extended","5","prominence-2-fabric;create_plus;zombie-invade-100-days;nonagon;better-mc-forge-bmc4","https://modrinth.com/mod/terrablender"
"yungs-better-end-island","YUNG's Better End Island","","unreviewed","5","prominence-2-fabric;slimes-adventure;better-mc-fabric-bmc2;nonagon;better-mc-forge-bmc4","https://modrinth.com/mod/yungs-better-end-island"
"yungs-better-nether-fortresses","YUNG's Better Nether Fortresses","YUNG 的下界要塞优化","extended","5","prominence-2-fabric;create_plus;slimes-adventure;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/yungs-better-nether-fortresses"
"yungs-better-strongholds","YUNG's Better Strongholds","YUNG 的要塞优化","extended","5","create_plus;slimes-adventure;better-mc-fabric-bmc2;nonagon;better-mc-forge-bmc4","https://modrinth.com/mod/yungs-better-strongholds"
"zoomify","Zoomify (Zoom)","缩放 (Zoomify)","extended","5","fabulously-optimized;cobbleverse;prominence-2-fabric;nonagon;pokemon-elysium","https://modrinth.com/mod/zoomify"
"accessories","Accessories","","unreviewed","4","cobbleverse;prominence-2-fabric;slimes-adventure;better-mc-fabric-bmc2","https://modrinth.com/mod/accessories"
"alternate-current","Alternate Current","","unreviewed","4","prominence-2-fabric;create_plus;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/alternate-current"
"amendments","Amendments","","unreviewed","4","prominence-2-fabric;better-mc-fabric-bmc2;create-stratus-terra-forge;better-mc-forge-bmc4","https://modrinth.com/mod/amendments"
"bartering-station","Bartering Station","","unreviewed","4","prominence-2-fabric;better-mc-fabric-bmc2;create-stratus-terra-forge;better-mc-forge-bmc4","https://modrinth.com/mod/bartering-station"
"bisect-mod","BisectHosting Server Integration Menu","","unreviewed","4","cobblemon-fabric;prominence-2-fabric;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/bisect-mod"
"carry-on","Carry On","举起来 (Carry On)","curated","4","prominence-2-fabric;create_plus;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/carry-on"
"chefs-delight","Chef's Delight - Farmer's Delight Villagers","","unreviewed","4","prominence-2-fabric;better-mc-fabric-bmc2;create-stratus-terra-forge;better-mc-forge-bmc4","https://modrinth.com/mod/chefs-delight"
"continuity","Continuity","连续性 (Continuity)","extended","4","fabulously-optimized;cobbleverse;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/continuity"
"crash-assistant","Crash Assistant","","unreviewed","4","fabulously-optimized;prominence-2-fabric;create_plus;distant-horizons-iris-shaders","https://modrinth.com/mod/crash-assistant"
"curios","Curios API","饰品 (Curios API)","extended","4","create_plus;zombie-invade-100-days;create-stratus-terra-forge;better-mc-forge-bmc4","https://modrinth.com/mod/curios"
"cut-through","Cut Through","","unreviewed","4","better-mc-fabric-bmc2;zombie-invade-100-days;create-stratus-terra-forge;better-mc-forge-bmc4","https://modrinth.com/mod/cut-through"
"drippy-loading-screen","Drippy Loading Screen","","unreviewed","4","prominence-2-fabric;better-mc-fabric-bmc2;zombie-invade-100-days;better-mc-forge-bmc4","https://modrinth.com/mod/drippy-loading-screen"
"dynamic-fps","Dynamic FPS","动态帧率 (Dynamic FPS)","extended","4","fabulously-optimized;create_plus;better-mc-fabric-bmc2;pokemon-elysium","https://modrinth.com/mod/dynamic-fps"
"easy-anvils","Easy Anvils","","unreviewed","4","create_plus;slimes-adventure;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/easy-anvils"
"explorify","Explorify","","unreviewed","4","prominence-2-fabric;slimes-adventure;better-mc-fabric-bmc2;create-stratus-terra-forge","https://modrinth.com/mod/explorify"
"fast-paintings","Fast Paintings","","unreviewed","4","prominence-2-fabric;create_plus;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/fast-paintings"
"forge-config-screens","Forge Config Screens","","unreviewed","4","prominence-2-fabric;better-mc-fabric-bmc2;zombie-invade-100-days;better-mc-forge-bmc4","https://modrinth.com/mod/forge-config-screens"
"fusion-connected-textures","Fusion (Connected Textures)","","unreviewed","4","cobbleverse;create_plus;slimes-adventure;pokemon-elysium","https://modrinth.com/mod/fusion-connected-textures"
"kotlin-for-forge","Kotlin for Forge","Forge Kotlin 支持","extended","4","create_plus;zombie-invade-100-days;create-stratus-terra-forge;better-mc-forge-bmc4","https://modrinth.com/mod/kotlin-for-forge"
"krypton","Krypton","氪 (Krypton)","extended","4","cobblemon-fabric;cobbleverse;better-mc-fabric-bmc2;pokemon-elysium","https://modrinth.com/mod/krypton"
"lambdynamiclights","LambDynamicLights - Dynamic Lights","发光动态光源 (LambDynamicLights)","extended","4","fabulously-optimized;cobblemon-fabric;prominence-2-fabric;pokemon-elysium","https://modrinth.com/mod/lambdynamiclights"
"lithostitched","Lithostitched","","unreviewed","4","prominence-2-fabric;slimes-adventure;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/lithostitched"
"magnum-torch","Magnum Torch","","unreviewed","4","prominence-2-fabric;create_plus;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/magnum-torch"
"mes-moogs-end-structures","MES - Moog's End Structures","","unreviewed","4","prominence-2-fabric;slimes-adventure;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/mes-moogs-end-structures"
"moogs-structure-lib","Moog's Structure Lib (moogs_structures)","","unreviewed","4","prominence-2-fabric;slimes-adventure;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/moogs-structure-lib"
"neruina","Neruina - Ticking Entity Fixer","","unreviewed","4","cobbleverse;prominence-2-fabric;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/neruina"
"oculus","Oculus","视界 (Oculus)","curated","4","create_plus;zombie-invade-100-days;create-stratus-terra-forge;better-mc-forge-bmc4","https://modrinth.com/mod/oculus"
"paxi","Paxi","","unreviewed","4","prominence-2-fabric;create_plus;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/paxi"
"philips-ruins","Philips Ruins","","unreviewed","4","prominence-2-fabric;slimes-adventure;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/philips-ruins"
"pick-up-notifier","Pick Up Notifier","","unreviewed","4","prominence-2-fabric;better-mc-fabric-bmc2;create-stratus-terra-forge;better-mc-forge-bmc4","https://modrinth.com/mod/pick-up-notifier"
"quark","Quark","夸克 (Quark)","curated","4","create_plus;zombie-invade-100-days;create-stratus-terra-forge;better-mc-forge-bmc4","https://modrinth.com/mod/quark"
"rebind-narrator","Rebind Narrator","","unreviewed","4","create_plus;zombie-invade-100-days;better-mc-forge-bmc4;pokemon-elysium","https://modrinth.com/mod/rebind-narrator"
"rechiseled","Rechiseled","","unreviewed","4","cobbleverse;create_plus;slimes-adventure;pokemon-elysium","https://modrinth.com/mod/rechiseled"
"resource-pack-overrides","Resource Pack Overrides","","unreviewed","4","cobbleverse;prominence-2-fabric;better-mc-fabric-bmc2;better-mc-forge-bmc4","https://modrinth.com/mod/resource-pack-overrides"
